Geographic Area,Year,Population
Alamance,2020,171624
Alamance,2021,173666
Alamance,2022,176470
Alamance,2023,179369
Alamance,2024,183361
Alamance,2025,186177
Alexander,2020,36406
Alexander,2021,36279
Alexander,2022,36213
Alexander,2023,36387
Alexander,2024,36749
Alexander,2025,36958
Alleghany,2020,10891
Alleghany,2021,11084
Alleghany,2022,11200
Alleghany,2023,11332
Alleghany,2024,11402
Alleghany,2025,11479
Anson,2020,22233
Anson,2021,21650
Anson,2022,21739
Anson,2023,21778
Anson,2024,21524
Anson,2025,21758
Ashe,2020,26585
Ashe,2021,26757
Ashe,2022,27047
Ashe,2023,27096
Ashe,2024,27378
Ashe,2025,27514
Avery,2020,17918
Avery,2021,17603
Avery,2022,17636
Avery,2023,17765
Avery,2024,18103
Avery,2025,18110
Beaufort,2020,44694
Beaufort,2021,44497
Beaufort,2022,44358
Beaufort,2023,44508
Beaufort,2024,44730
Beaufort,2025,44670
Bertie,2020,17722
Bertie,2021,17237
Bertie,2022,16951
Bertie,2023,17013
Bertie,2024,17184
Bertie,2025,17086
Bladen,2020,29628
Bladen,2021,29531
Bladen,2022,29360
Bladen,2023,29586
Bladen,2024,29967
Bladen,2025,30007
Brunswick,2020,138135
Brunswick,2021,144719
Brunswick,2022,152519
Brunswick,2023,159425
Brunswick,2024,166889
Brunswick,2025,174702
Buncombe,2020,269703
Buncombe,2021,272030
Buncombe,2022,274019
Buncombe,2023,276463
Buncombe,2024,279227
Buncombe,2025,277417
Burke,2020,87262
Burke,2021,87337
Burke,2022,87801
Burke,2023,88217
Burke,2024,88569
Burke,2025,88655
Cabarrus,2020,227240
Cabarrus,2021,231844
Cabarrus,2022,236041
Cabarrus,2023,240679
Cabarrus,2024,245673
Cabarrus,2025,249725
Caldwell,2020,80582
Caldwell,2021,80529
Caldwell,2022,80298
Caldwell,2023,80659
Caldwell,2024,80854
Caldwell,2025,81105
Camden,2020,10405
Camden,2021,10827
Camden,2022,11093
Camden,2023,11165
Camden,2024,11249
Camden,2025,11315
Carteret,2020,67692
Carteret,2021,68695
Carteret,2022,69335
Carteret,2023,69646
Carteret,2024,70215
Carteret,2025,70469
Caswell,2020,22476
Caswell,2021,22505
Caswell,2022,22218
Caswell,2023,22477
Caswell,2024,22461
Caswell,2025,22563
Catawba,2020,160892
Catawba,2021,161706
Catawba,2022,163274
Catawba,2023,164901
Catawba,2024,167189
Catawba,2025,170172
Chatham,2020,76663
Chatham,2021,78164
Chatham,2022,80039
Chatham,2023,81877
Chatham,2024,83832
Chatham,2025,85111
Cherokee,2020,28866
Cherokee,2021,29199
Cherokee,2022,29539
Cherokee,2023,30035
Cherokee,2024,30415
Cherokee,2025,30830
Chowan,2020,13702
Chowan,2021,13761
Chowan,2022,13909
