Geographic Area,Year,Population
Aberdeen,2020,8625
Aberdeen,2021,9109
Aberdeen,2022,9323
Aberdeen,2023,9515
Aberdeen,2024,9573
Ahoskie,2020,4874
Ahoskie,2021,4779
Ahoskie,2022,4722
Ahoskie,2023,4685
Ahoskie,2024,4665
Alamance,2020,990
Alamance,2021,993
Alamance,2022,1009
Alamance,2023,1029
Alamance,2024,1043
Albemarle,2020,16399
Albemarle,2021,16445
Albemarle,2022,16682
Albemarle,2023,16973
Albemarle,2024,17344
Alliance,2020,735
Alliance,2021,731
Alliance,2022,733
Alliance,2023,742
Alliance,2024,749
Andrews,2020,1669
Andrews,2021,1668
Andrews,2022,1700
Andrews,2023,1737
Andrews,2024,1762
Angier,2020,5702
Angier,2021,6128
Angier,2022,6559
Angier,2023,7293
Angier,2024,8284
Ansonville,2020,441
Ansonville,2021,441
Ansonville,2022,439
Ansonville,2023,440
Ansonville,2024,441
Apex,2020,65212
Apex,2021,68264
Apex,2022,71129
Apex,2023,72796
Apex,2024,75977
Arapahoe,2020,415
Arapahoe,2021,419
Arapahoe,2022,420
Arapahoe,2023,425
Arapahoe,2024,429
Archdale,2020,11906
Archdale,2021,11950
Archdale,2022,11993
Archdale,2023,12106
Archdale,2024,12147
Archer Lodge,2020,4832
Archer Lodge,2021,5027
Archer Lodge,2022,5194
Archer Lodge,2023,5368
Archer Lodge,2024,5522
Asheboro,2020,27243
Asheboro,2021,27377
Asheboro,2022,27542
Asheboro,2023,27754
Asheboro,2024,27928
Asheville,2020,94353
Asheville,2021,94180
Asheville,2022,93910
Asheville,2023,95235
Asheville,2024,94992
Askewville,2020,182
Askewville,2021,177
Askewville,2022,175
Askewville,2023,173
Askewville,2024,172
Atkinson,2020,299
Atkinson,2021,311
Atkinson,2022,325
Atkinson,2023,336
Atkinson,2024,346
Atlantic Beach,2020,1377
Atlantic Beach,2021,1400
Atlantic Beach,2022,1404
Atlantic Beach,2023,1410
Atlantic Beach,2024,1421
Aulander,2020,754
Aulander,2021,735
Aulander,2022,727
Aulander,2023,722
Aulander,2024,718
Aurora,2020,454
Aurora,2021,453
Aurora,2022,452
Aurora,2023,451
Aurora,2024,451
Autryville,2020,169
Autryville,2021,170
Autryville,2022,170
Autryville,2023,171
Autryville,2024,174
Ayden,2020,5065
Ayden,2021,5111
Ayden,2022,5142
Ayden,2023,5171
Ayden,2024,5190
Badin,2020,2024
Badin,2021,1776
Badin,2022,1810
Badin,2023,1845
Badin,2024,1871
Bailey,2020,565
Bailey,2021,567
Bailey,2022,573
Bailey,2023,578
Bailey,2024,588
Bakersville,2020,451
Bakersville,2021,452
Bakersville,2022,455
Bakersville,2023,452
Bakersville,2024,453
Bald Head Island,2020,262
Bald Head Island,2021,267
Bald Head Island,2022,274
Bald Head Island,2023,279
Bald Head Island,2024,278
Banner Elk,2020,1129
Banner Elk,2021,1169
Banner Elk,2022,1203
Banner Elk,2023,1183
Banner Elk,2024,1186
Bath,2020,244
Bath,2021,243
Bath,2022,242
Bath,2023,241
Bath,2024,241
Bayboro,2020,1234
Bayboro,2021,1229
Bayboro,2022,1109
Bayboro,2023,1125
Bayboro,2024,1128
Bear Grass,2020,86
Bear Grass,2021,85
Bear Grass,2022,84
Bear Grass,2023,84
Bear Grass,2024,84
Beaufort,2020,4476
Beaufort,2021,4591
Beaufort,2022,4690
Beaufort,2023,4815
Beaufort,2024,4895
Beech Mountain,2020,665
Beech Mountain,2021,664
Beech Mountain,2022,666
Beech Mountain,2023,662
Beech Mountain,2024,658
Belhaven,2020,1409
Belhaven,2021,1407
Belhaven,2022,1401
Belhaven,2023,1402
Belhaven,2024,1406
Belmont,2020,15165
Belmont,2021,15327
Belmont,2022,15464
Belmont,2023,15811
Belmont,2024,16044
Belville,2020,2382
Belville,2021,2417
Belville,2022,2417
Belville,2023,2398
Belville,2024,3255
Belwood,2020,862
Belwood,2021,865
Belwood,2022,869
Belwood,2023,873
Belwood,2024,873
Benson,2020,4002
Benson,2021,4133
Benson,2022,4286
Benson,2023,4423
Benson,2024,4534
Bermuda Run,2020,3134
Bermuda Run,2021,3183
Bermuda Run,2022,3206
Bermuda Run,2023,3236
Bermuda Run,2024,3290
Bessemer City,2020,5450
Bessemer City,2021,5518
Bessemer City,2022,5567
Bessemer City,2023,5641
Bessemer City,2024,5730
Bethania,2020,341
Bethania,2021,345
Bethania,2022,351
Bethania,2023,357
Bethania,2024,361
Bethel,2020,1376
Bethel,2021,1390
Bethel,2022,1396
Bethel,2023,1404
Bethel,2024,1407
Beulaville,2020,1117
Beulaville,2021,1115
Beulaville,2022,1127
Beulaville,2023,1144
Beulaville,2024,1160
Biltmore Forest,2020,1400
Biltmore Forest,2021,1417
Biltmore Forest,2022,1435
Biltmore Forest,2023,1442
Biltmore Forest,2024,1462
Biscoe,2020,1847
Biscoe,2021,1844
Biscoe,2022,1842
Biscoe,2023,1882
Biscoe,2024,1895
Black Creek,2020,690
Black Creek,2021,683
Black Creek,2022,685
Black Creek,2023,693
Black Creek,2024,698
Black Mountain,2020,8441
Black Mountain,2021,8470
Black Mountain,2022,8521
Black Mountain,2023,8551
Black Mountain,2024,8572
Bladenboro,2020,1646
Bladenboro,2021,1640
Bladenboro,2022,1627
Bladenboro,2023,1630
Bladenboro,2024,1642
Blowing Rock,2020,1373
Blowing Rock,2021,1377
