EruptionId,VolcanoName,Country,Region,Latitude,Longitude,Elevation,Morphology,EventYear,EventMonth,EventDay,VEI,DeathsTotal,InjuriesTotal,HousesDestroyed,DamageMillionsUSD,Agent,TimeErupt,Status
1,Etna,Italy,Italy,37.748,14.999,3357,Stratovolcano,1169,2,4,,16000,,,,"S,W",D1,Historical
2,Etna,Italy,Italy,37.748,14.999,3357,Stratovolcano,1329,7,15,3,,,,,I,D1,Historical
3,Karthala,Comoros,Indian O-W,-11.75,43.38,2361,Shield volcano,1883,3,,2,,,,,L,D1,Historical
4,Ritter Island,Papua New Guinea,New Guinea-NE of,-5.519,148.115,75,Stratovolcano,1888,3,13,2,,,,,W,D1,Historical
5,Rabaul,Papua New Guinea,New Britain-SW Pac,-4.246,152.194,688,Pyroclastic shield,1850,,,2,,,,,T,D1,Historical
6,Etna,Italy,Italy,37.748,14.999,3357,Stratovolcano,1832,11,1,2,,,,,L,D1,Historical
7,Nyiragongo,"Congo, DRC",Africa-C,-1.52,29.25,3470,Stratovolcano,1977,1,10,1,,,,,L,D1,Historical
8,Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,787,,,3,,,,,,D2,Historical
9,Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,1779,8,8,3,,,,,,D2,Historical
10,Ischia,Italy,Italy,40.73,13.897,789,Complex volcano,1302,,,,,,,,,D6,Historical
11,Alayta,Ethiopia,Africa-NE,12.888,40.573,1496,Shield volcano,1907,8,4,2,,,,,,D2,Historical
12,Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,1905,3,10,2,1,1,,,T,D2,Historical
13,Stromboli,Italy,Italy,38.789,15.213,924,Stratovolcano,1986,7,24,2,1,,,,T,D1,Historical
14,Etna,Italy,Italy,37.748,14.999,3357,Stratovolcano,1536,3,26,3,1,,,,T,D1,Historical
15,Karthala,Comoros,Indian O-W,-11.75,43.38,2361,Shield volcano,1904,2,25,2,1,,,,L,D1,Historical
16,Rabaul,Papua New Guinea,New Britain-SW Pac,-4.246,152.194,688,Pyroclastic shield,1878,2,4,3,1,,,,T,D1,Historical
17,Vesuvius,Italy,Italy,40.821,14.426,1281,Complex volcano,1737,5,20,3,2,,,,T,D2,Historical
18,Okataina,New Zealand,New Zealand,-38.157,176.507,1111,Lava dome,1917,4,1,1,2,3,,,T,D1,Historical
19,Manam,Papua New Guinea,New Guinea-NE of,-4.08,145.037,1807,Stratovolcano,1899,,,2,2,,,,,D1,Historical
20,Karkar,Papua New Guinea,New Guinea-NE of,-4.647,145.976,1839,Stratovolcano,1979,3,8,2,2,,,,P,D1,Historical
